"6.2      Initial Loading Condition
"8.        Stability Assessment
8.1      Intact Stability Criteria
This section is intended to present the criteria regarding stability analysis of the barge.
A cargo barge shall have positive stability in calm water equilibrium position. In addition, the  system  shall  have  sufficient  dynamic  stability  (righting  ability)  to  withstand  the overturning effect of the force produced by a steady wind from any horizontal direction.
In order to examine the stability of the system, criteria from GL Noble Denton 0030/ND, Guidelines for Marine Transportation and IMO are considered as follows.
1) The critical metacentric height should not be less than 0.15 meter.  (IMO Code on Intact Stability for All Type of Ships Resolution A-749).
2) Range of Positive Stability Ø
The stability of the transportation barge shall be positive to a heel angle Ø beyond equilibrium as given below:
   Heel angle, Ø will be greater than or equal to 40 degree, otherwise.
   Heel  angle,  Ø  will  be  greater  than  or  equal  to  the  greater  of  30  degree  or (R+15+15/GM) degree.
where,
R    = Smaller or equal to the maximum dynamic heel angle in degree due to wind  and  waves  in  design  sea  state  for  the  tow  route  or  to  the  heel angle where the maximum righting moments occurs.
GM   = Initial metacentric height, corrected for free surface effects in meters.
3) The area under righting lever curve up to the angle of maximum righting lever, or the angle of down flooding, or 40 degrees, whichever is less, should not be less than 0.08 m-rad. (4.58 m-deg). (IMO Code on Intact Stability Special Criteria for Certain Types of Ships -Resolution A.749  )
4) The  area  under  the  righting  arm  should  not  be  less  than  3.15  m-deg  (0.055  metre-radian) up to an angle of heel 30 degree. (IMO Code on Intact Stability For All Type Of Ships Resolution A-749)
5) The area under the righting arm curve between the angles of heel of 30deg and 40deg, or the down flooding angle, should not be less than 1.72 m-deg (0.03 metre-radian).
6) The righting lever should be at least 0.20 metres at a heel angle equal to or greater than 30 degree. (IMO Code on Intact Stability for All Type of Ships Resolution A-749).
7) The maximum righting lever should occur at an angle of hell not less than 15 deg.
8) Dynamic Stability
The area under the righting moment curve will be greater than 1.4 times the area under the wind heeling moment {(A+B)  1.4 (B+C)} as per the stability curve, Fig. 2.2 calculated up to an angle of heel corresponding to the second intercept of the two curves.
The wind heeling moment is calculated on the basis of 1-minute mean wind speed.  The
wind speed is 100 Knots."										
8.2        Intact Stability Assessment Results										
The results of the intact stability analysis are summarized below and the detailed MOSES output is included in Appendix F.										
Table 8.1: Intact Stability Results for Loadout of transformer-1										
"SL.
No."	Particulars	Required	Stage 1	Stage 2	Stage 3	Stage 4	Stage 5	Stage 6	Remark	
1	Metacentric height (m)	> 0.15	7.21	6.66	6.21	5.82	5.47	5.21	OK	
2	Range of positive stability (deg)	> 40.0	>70	68.93	65.52	61.57	57.20	54.02	OK	
3	Wind area ratio	> 1.40	>70	37.19	37.12	35.88	32.79	29.08	OK	
4	"Area at maximum righting
arm (m-deg)"	> 4.58	32.00	29.93	27.62	21.98	19.60	13.00	OK	
5	Heel angle at maximum righting arm (deg)	> 15.0	24.00	24.00	24.00	22.00	22.00	18.00	OK	
6	Area up to 30 deg heel angle (m-deg)	> 3.15	44.59	41.52	38.05	34.20	29.77	26.30	OK	
7	Area up to 40 deg heel angle (m-deg)	> 4.58	63.47	58.58	53.05	46.88	39.95	34.26	OK	
8	Area between 30 and 40 deg (m-deg)	> 1.72	18.88	17.06	15.00	12.68	10.18	7.96	OK	
9	"The righting lever GZ at heel
angle of 30 degree (m)"	> 0.20	2.1	1.80	1.70	1.60	1.40	1.20	OK	
Table 8.2: Intact Stability Results for Loadout of transformer-2										
"SL.
No."	Particulars	Required	Stage 1	Stage 2	Stage 3	Stage 4	Stage 5	Stage 6	Remark	
1	Metacentric height (m)	> 0.15	5.77	5.45	5.09	4.77	4.48	4.29	OK	
2	"Range of positive stability
(deg)"	> 40.0	61.58	58.60	55.05	51.40	45.81	42.26	OK	
3	Wind area ratio	> 1.40	49.02	48.50	46.33	41.82	36.88	30.61	OK	
4	Area at maximum righting arm (m-deg)	> 4.58	21.77	20.26	18.49	12.11	8.80	7.68	OK	
5	"Heel angle at maximum
righting arm (deg)"	> 15.0	22.00	22.00	22.00	18.00	16.00	16.00	OK	
6	Area up to 30 deg heel angle (m-deg)	> 3.15	34.09	31.36	28.17	24.50	20.30	16.53	OK	
7	Area up to 40 deg heel angle (m-deg)	> 4.58	46.79	42.44	37.33	31.52	25.02	19.12	OK	
8	Area between 30 and 40 deg (m-deg)	> 1.72	12.77	11.08	9.16	7.02	4.72	2.59	OK	
9	The righting lever GZ at heel angle of 30 degree (m)	> 0.20	1.60	1.50	1.25	1.10	0.85	0.70	OK	
"9.        LONGITUDINAL STRENGTH VERIFICATION
To check the longitudinal strength of the vessel, the shear force, bending moment and deflection of the vessel are calculated and compared with the allowable shear stress, bending stress and deflection.
It is necessary to have the shear area and section modulus of the vessel which is calculated from the vessel construction drawings.
For all conditions, the allowable bending stress is assumed to be 175 MPa (as per ABS) and for shear stress it is 110 MPa .
For shear area calculation, the watertight longitudinal bulkhead plates, side shell plates  of the vessel and longitudinal stiffeners are considered (based on construction drawings).
For vessel section modulus calculation, the deck and bottom plates are included on top of that for shear area calculation. Addition to that side stiffeners and top and bottom stiffeners are also included. The section modulus at the bottom is used, being the lesser of the two. Refer detailed results and section modulus calculation in Appendix C
Table 9.1.: Allowable Bending moment and shear force for “LCT Bushra”"										
Shear Force		Bending Moment								
Allowable Shear Stress	11.0 kN/cm^2	Allowable Bending Stress	17.5 kN/cm^2							
Shear Area	5686.14 cm2	Section Modulus	533 904.13 cm3							
Allowable Shear Force	6378.49 MT	Allowable Bending Moment	9530.19 MT-m							
Table 9.2.: Bending Moment and Shear force for loadout of Transformer-1										
Stages	Weight (MT)	Bending Moment (MT.m)		Shear Force (MT)						
		Maximum	Allowable	Maximum	Allowable					
1	0	3162	9530	234	6378					
2	60	3517		251						
3	120	3896		267						
4	180	4446		281						
5	240	4984		293						
6	285	5366		302						
10.      CONCLUSION										
The load-out analysis for loading of two transformers of 240 MT each onto the vessel “LCT Bushra” is performed and the following conclusions are made.										
     Intact Stability Analysis during the loadout of transformer-1 & transformer-2 has been performed and is found to be satisfactory.										
     Longitudinal    strength    assessment    during    the    Loadout    of    transformer-1    & transformer-2 has been conducted and is within allowable limits.										
     A  minimum  tide  of  1.8 m  is  required  to  commence  the  operation,  and  all										
operations must be completed at or above this tide level.										
