Activity ID	Activity ID	Activity ID	Activity Name	Original Duration	Planned Start	Planned Finish
OPERATIONAL	AGI TR Units 1-2	A1081	Sail-away - Marine Transportation by LCT to Al Ghallan Island	1.00	2026-02-01	2026-02-01
OPERATIONAL	AGI TR Units 1-2	A1090	MMT Crew Mob to AGI; Site Induction; Meeting with Client	0.50	2026-02-02	2026-02-02
OPERATIONAL	AGI TR Units 1-2	A1091	LCT Arrival; Berthing at AGL RoRo Jetty	0.50	2026-02-02	2026-02-02
OPERATIONAL	AGI TR Units 1-2	A1100	Unlashing and cutting; steel sets preparations - Forklift required	0.50	2026-02-02	2026-02-02
OPERATIONAL	AGI TR Units 1-2	A1110	Load-in of AGI TR Unit 2 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-02-03	2026-02-03
OPERATIONAL	AGI TR Units 1-2	A1120	Load-in of AGI TR Unit 1 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-02-04	2026-02-04
OPERATIONAL	AGI TR Units 1-2	A1121	LCT Sails back to MZP to collect TR Units 3-4	1.00	2026-02-05	2026-02-05
OPERATIONAL	AGI TR Units 1-2	A1122	Steel bridge Installation 1 - Crane required	0.30	2026-02-05	2026-02-05
OPERATIONAL	AGI TR Units 1-2	A1140	AGL TR Unit 1 (TR Bay 4) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-02-05	2026-02-05
OPERATIONAL	AGI TR Units 1-2	A1141	Turning of AGI TR Unit 1 (TR Bay 4) - 10t Forklift required	3.00	2026-02-06	2026-02-08
OPERATIONAL	AGI TR Units 1-2	A1150	Jacking down of AGI TR Unit 1 (TR Bay 4) on temporary support - Forklift required	1.00	2026-02-09	2026-02-09
OPERATIONAL	AGI TR Units 1-2	A1160	Steel bridge Installation 2 - Crane required	0.30	2026-02-09	2026-02-09
OPERATIONAL	AGI TR Units 1-2	A1170	AGL TR Unit 2 (TR Bay 3) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-02-09	2026-02-09
OPERATIONAL	AGI TR Units 1-2	A1180	Turning of AGI TR Unit 2 (TR Bay 3) - 10t Forklift required	3.00	2026-02-10	2026-02-12
OPERATIONAL	AGI TR Units 1-2	A1181	SPMT shifting back to Port	0.50	2026-02-11	2026-02-11
OPERATIONAL	AGI TR Units 1-2	A1190	Jacking down of AGI TR Unit 2 (TR Bay 3) on temporary support - Forklift and Crane required	1.00	2026-02-13	2026-02-13
OPERATIONAL	AGI TR Units 3-4		AGI TR Units 3-4	17.00	2026-02-06	2026-02-22
OPERATIONAL	AGI TR Units 3-4	A1200	LCT arrives to MZP; Deck preparations	1.00	2026-02-06	2026-02-06
OPERATIONAL	AGI TR Units 3-4	A1210	Loading of AGI TR Unit 3 on SPMT; lashing; Shifting to Mina Zayed Port RoRo Jetty area	0.30	2026-02-07	2026-02-07
OPERATIONAL	AGI TR Units 3-4	A1220	RoRo Ramp Installation - 5t Frokift and Crane required	0.30	2026-02-07	2026-02-07
OPERATIONAL	AGI TR Units 3-4	A1230	Load-out of AGL TR Unit 3; stool down	0.20	2026-02-07	2026-02-07
OPERATIONAL	AGI TR Units 3-4	A1240	RoRo ramp removal; Seafastening AGL TR Unit 3 - Crane required	1.00	2026-02-07	2026-02-08
OPERATIONAL	AGI TR Units 3-4	A1250	Loading of AGI TR Unit 4 on SPMT; lashing	0.50	2026-02-07	2026-02-07
OPERATIONAL	AGI TR Units 3-4	A1260	Shifting of AGL TR Unit 4 to Jetty area	0.05	2026-02-08	2026-02-08
OPERATIONAL	AGI TR Units 3-4	A1270	RoRo Ramp Installation - Crane required	0.30	2026-02-08	2026-02-08
OPERATIONAL	AGI TR Units 3-4	A1280	Load-out of AGI TR Unit 4; stoold down; securing of SPMT	0.30	2026-02-08	2026-02-08
OPERATIONAL	AGI TR Units 3-4	A1290	Removal of RoRo Ramp; Sea fastening AGI TR Unit 4 - Crane required	1.00	2026-02-08	2026-02-09
OPERATIONAL	AGI TR Units 3-4	A1300	MWS + MPI + Final Preparations	0.20	2026-02-09	2026-02-09
OPERATIONAL	AGI TR Units 3-4	A1310	Sail-away - Marine Transportation by LCT to Al Ghallan Island	1.00	2026-02-10	2026-02-10
OPERATIONAL	AGI TR Units 3-4	A1320	LCT Arrival; Berthing at AGL RoRo Jetty	0.50	2026-02-11	2026-02-11
OPERATIONAL	AGI TR Units 3-4	A1330	Unlashing and cutting; steel sets preparations - Forklift required	0.50	2026-02-11	2026-02-11
OPERATIONAL	AGI TR Units 3-4	A1340	Load-in of AGI TR Unit 4 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-02-12	2026-02-12
OPERATIONAL	AGI TR Units 3-4	A1350	Load-in of AGI TR Unit 3 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-02-13	2026-02-13
OPERATIONAL	AGI TR Units 3-4	A1360	LCT Sails back to MZP to collect TR Units 5-6 (LCT must carry back 4pcs of 7.45m beams)	1.00	2026-02-14	2026-02-14
OPERATIONAL	AGI TR Units 3-4	A1370	Steel bridge Installation 1 - Crane required	0.30	2026-02-14	2026-02-14
OPERATIONAL	AGI TR Units 3-4	A1380	AGL TR Unit 3 (TR Bay 2) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-02-14	2026-02-14
OPERATIONAL	AGI TR Units 3-4	A1390	Turning of AGI TR Unit 3 (TR Bay 2) - 10t Forklift required	3.00	2026-02-15	2026-02-17
OPERATIONAL	AGI TR Units 3-4	A1400	Jacking down of AGI TR Unit 3 (TR Bay 2) on temporary support - Forklift required	1.00	2026-02-18	2026-02-18
OPERATIONAL	AGI TR Units 3-4	A1410	Steel bridge Installation 2 - Crane required	0.30	2026-02-18	2026-02-18
OPERATIONAL	AGI TR Units 3-4	A1420	AGL TR Unit 4 (TR Bay 1) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-02-18	2026-02-18
OPERATIONAL	AGI TR Units 3-4	A1430	Turning of AGI TR Unit 4 (TR Bay 1) - 10t Forklift required	3.00	2026-02-19	2026-02-21
OPERATIONAL	AGI TR Units 3-4	A1440	SPMT shifting back to Port	0.50	2026-02-20	2026-02-20
OPERATIONAL	AGI TR Units 3-4	A1450	Jacking down of AGI TR Unit 4 (TR Bay 1) on temporary support - Forklift and Crane required	1.00	2026-02-22	2026-02-22
OPERATIONAL	AGI TR Units 5-6		AGI TR Units 5-6	17.00	2026-02-15	2026-03-03
OPERATIONAL	AGI TR Units 5-6	A1460	LCT arrives to MZP; Deck preparations	1.00	2026-02-15	2026-02-15
OPERATIONAL	AGI TR Units 5-6	A1470	Loading of AGI TR Unit 5 on SPMT; lashing; Shifting to Mina Zayed Port RoRo Jetty area	0.30	2026-02-16	2026-02-16
OPERATIONAL	AGI TR Units 5-6	A1480	RoRo Ramp Installation - 5t Frokift and Crane required	0.30	2026-02-16	2026-02-16
OPERATIONAL	AGI TR Units 5-6	A1490	Load-out of AGL TR Unit 5; stool down	0.20	2026-02-16	2026-02-16
OPERATIONAL	AGI TR Units 5-6	A1500	RoRo ramp removal; Seafastening AGL TR Unit 5 - Crane required	1.00	2026-02-16	2026-02-17
OPERATIONAL	AGI TR Units 5-6	A1510	Loading of AGI TR Unit 6 on SPMT; lashing	0.50	2026-02-16	2026-02-16
OPERATIONAL	AGI TR Units 5-6	A1520	Shifting of AGL TR Unit 6 to Jetty area	0.05	2026-02-17	2026-02-17
OPERATIONAL	AGI TR Units 5-6	A1530	RoRo Ramp Installation - Crane required	0.30	2026-02-17	2026-02-17
OPERATIONAL	AGI TR Units 5-6	A1540	Load-out of AGI TR Unit 6; stoold down; securing of SPMT	0.30	2026-02-17	2026-02-17
OPERATIONAL	AGI TR Units 5-6	A1550	Removal of RoRo Ramp; Sea fastening AGI TR Unit 6 - Crane required	1.00	2026-02-17	2026-02-18
OPERATIONAL	AGI TR Units 5-6	A1560	MWS + MPI + Final Preparations	0.20	2026-02-18	2026-02-18
OPERATIONAL	AGI TR Units 5-6	A1570	Sail-away - Marine Transportation by LCT to Al Ghallan Island	1.00	2026-02-19	2026-02-19
OPERATIONAL	AGI TR Units 5-6	A1580	LCT Arrival; Berthing at AGL RoRo Jetty	0.50	2026-02-20	2026-02-20
OPERATIONAL	AGI TR Units 5-6	A1590	Unlashing and cutting; steel sets preparations - Forklift required	0.50	2026-02-20	2026-02-20
OPERATIONAL	AGI TR Units 5-6	A1600	Load-in of AGI TR Unit 6 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-02-21	2026-02-21
OPERATIONAL	AGI TR Units 5-6	A1610	Load-in of AGI TR Unit 5 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-02-22	2026-02-22
OPERATIONAL	AGI TR Units 5-6	A1620	LCT Sails back to MZP to collect TR Unit 7 (LCT must carry back 2pcs of 7.45m beams)	1.00	2026-02-23	2026-02-23
OPERATIONAL	AGI TR Units 5-6	A1630	Steel bridge Installation 1 - Crane required	0.30	2026-02-23	2026-02-23
OPERATIONAL	AGI TR Units 5-6	A1640	AGL TR Unit 5 (TR Bay 5) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-02-23	2026-02-23
OPERATIONAL	AGI TR Units 5-6	A1650	Turning of AGI TR Unit 5 (TR Bay 5) - 10t Forklift required	3.00	2026-02-24	2026-02-26
OPERATIONAL	AGI TR Units 5-6	A1660	Jacking down of AGI TR Unit 5 (TR Bay 5) on temporary support - Forklift required	1.00	2026-02-27	2026-02-27
OPERATIONAL	AGI TR Units 5-6	A1670	Steel bridge Installation 2 - Crane required	0.30	2026-02-27	2026-02-27
OPERATIONAL	AGI TR Units 5-6	A1680	AGL TR Unit 6 (TR Bay 6) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-02-27	2026-02-27
OPERATIONAL	AGI TR Units 5-6	A1690	Turning of AGI TR Unit 6 (TR Bay 6) - 10t Forklift required	3.00	2026-02-28	2026-03-02
OPERATIONAL	AGI TR Units 5-6	A1700	SPMT shifting back to Port	0.50	2026-03-01	2026-03-01
OPERATIONAL	AGI TR Units 5-6	A1710	Jacking down of AGI TR Unit 6 (TR Bay 6) on temporary support - Forklift and Crane required	1.00	2026-03-03	2026-03-03
OPERATIONAL	AGI TR Unit 7		AGI TR Unit 7	12.00	2026-02-24	2026-03-07
OPERATIONAL	AGI TR Unit 7	A1720	LCT arrives to MZP; Deck preparations	1.00	2026-02-24	2026-02-24
OPERATIONAL	AGI TR Unit 7	A1730	Loading of AGI TR Unit 7 on SPMT; lashing; Shifting to Mina Zayed Port RoRo Jetty area	0.30	2026-02-25	2026-02-25
OPERATIONAL	AGI TR Unit 7	A1740	RoRo Ramp Installation - 5t Frokift and Crane required	0.30	2026-02-25	2026-02-25
OPERATIONAL	AGI TR Unit 7	A1750	Load-out of AGL TR Unit 7; stool down	0.20	2026-02-25	2026-02-25
OPERATIONAL	AGI TR Unit 7	A1760	RoRo ramp removal; Seafastening AGL TR Unit 7 - Crane required	1.00	2026-02-25	2026-02-26
OPERATIONAL	AGI TR Unit 7	A1820	MWS + MPI + Final Preparations	0.50	2026-02-26	2026-02-26
OPERATIONAL	AGI TR Unit 7	A1830	Sail-away - Marine Transportation by LCT to Al Ghallan Island	1.00	2026-02-27	2026-02-27
OPERATIONAL	AGI TR Unit 7	A1840	LCT Arrival; Berthing at AGL RoRo Jetty	0.50	2026-02-28	2026-02-28
OPERATIONAL	AGI TR Unit 7	A1850	Unlashing and cutting; steel sets preparations - Forklift required	0.50	2026-02-28	2026-02-28
OPERATIONAL	AGI TR Unit 7	A1860	Load-in of AGI TR Unit 7 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-03-01	2026-03-01
OPERATIONAL	AGI TR Unit 7	A1890	Steel bridge Installation - Crane required	0.30	2026-03-02	2026-03-02
OPERATIONAL	AGI TR Unit 7	A1900	AGL TR Unit 7 (TR Bay 7) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-03-02	2026-03-02
OPERATIONAL	AGI TR Unit 7	A1910	Turning of AGI TR Unit 7 (TR Bay 7) - 10t Forklift required	3.00	2026-03-04	2026-03-06
OPERATIONAL	AGI TR Unit 7	A1920	Jacking down of AGI TR Unit 7 (TR Bay 7) on temporary support - Forklift required	1.00	2026-03-07	2026-03-07
OPERATIONAL	AGI TR Unit 7	A1960	SPMT shifting back to Port	0.50	2026-03-06	2026-03-06
