Activity ID	Activity ID	Activity ID	Activity Name	Original Duration	Planned Start	Planned Finish
OPERATIONAL	AGI TR Unit 1	A1090	MMT Crew Mob to AGI; Site Induction; Meeting with Client	0.50	2026-02-01	2026-02-01
OPERATIONAL	AGI TR Unit 1	A1091	LCT Arrival; Berthing at AGL RoRo Jetty	0.50	2026-02-01	2026-02-01
OPERATIONAL	AGI TR Unit 1	A1100	Unlashing and cutting; steel sets preparations - Forklift required	0.50	2026-02-01	2026-02-01
OPERATIONAL	AGI TR Unit 1	A1120	Load-in of AGI TR Unit 1 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-02-02	2026-02-02
OPERATIONAL	AGI TR Unit 1	A1122	Steel bridge Installation 1 - Crane required	0.30	2026-02-03	2026-02-03
OPERATIONAL	AGI TR Unit 1	A1140	AGL TR Unit 1 (TR Bay 4) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-02-03	2026-02-03
OPERATIONAL	AGI TR Unit 1	A1141	Turning of AGI TR Unit 1 (TR Bay 4) - 10t Forklift required	3.00	2026-02-04	2026-02-06
OPERATIONAL	AGI TR Unit 1	A1150	Jacking down of AGI TR Unit 1 (TR Bay 4) on temporary support - Forklift required	1.00	2026-02-07	2026-02-07
OPERATIONAL	AGI TR Unit 1	A1181	SPMT shifting back to Port (1st set)	0.50	2026-02-07	2026-02-07
OPERATIONAL	AGI TR Unit 2		AGI TR Unit 2	8.00	2026-01-30	2026-02-06
OPERATIONAL	AGI TR Unit 2	A2030	Loading of AGI TR Unit 2 on SPMT (2nd set); lashing; Shifting to Mina Zayed Port RoRo Jetty area	0.30	2026-01-30	2026-01-30
OPERATIONAL	AGI TR Unit 2	A2040	RoRo Ramp Installation - 5t Forklift and Crane required	0.30	2026-01-30	2026-01-30
OPERATIONAL	AGI TR Unit 2	A2060	Load-out of AGL TR Unit 2; stool down (10am-11am) - Tide: 2.01m at 10:00, 2.14m at 11:00	0.20	2026-01-30	2026-01-30
OPERATIONAL	AGI TR Unit 2	A2070	RoRo ramp removal; Seafastening AGL TR Unit 2 - Crane required	1.00	2026-01-30	2026-01-31
OPERATIONAL	AGI TR Unit 2	A2080	MWS + MPI + Final Preparations	0.20	2026-01-31	2026-01-31
OPERATIONAL	AGI TR Unit 2	A2081	Sail-away - Marine Transportation by LCT to Al Ghallan Island	1.00	2026-02-01	2026-02-01
OPERATIONAL	AGI TR Unit 2	A2090	MMT Crew Mob to AGI; Site Induction; Meeting with Client	0.50	2026-02-02	2026-02-02
OPERATIONAL	AGI TR Unit 2	A2091	LCT Arrival; Berthing at AGL RoRo Jetty	0.50	2026-02-02	2026-02-02
OPERATIONAL	AGI TR Unit 2	A2100	Unlashing and cutting; steel sets preparations - Forklift required	0.50	2026-02-02	2026-02-02
OPERATIONAL	AGI TR Unit 2	A2120	Load-in of AGI TR Unit 2 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-02-03	2026-02-03
OPERATIONAL	AGI TR Unit 2	A2122	Steel bridge Installation 1 - Crane required	0.30	2026-02-04	2026-02-04
OPERATIONAL	AGI TR Unit 2	A2140	AGL TR Unit 2 (TR Bay 3) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-02-04	2026-02-04
OPERATIONAL	AGI TR Unit 2	A2141	Turning of AGI TR Unit 2 (TR Bay 3) - 10t Forklift required	3.00	2026-02-05	2026-02-07
OPERATIONAL	AGI TR Unit 2	A2150	Jacking down of AGI TR Unit 2 (TR Bay 3) on temporary support - Forklift required	1.00	2026-02-08	2026-02-08
OPERATIONAL	AGI TR Unit 2	A2181	SPMT shifting back to Port (2nd set)	0.50	2026-02-08	2026-02-08
OPERATIONAL	AGI TR Unit 3		AGI TR Unit 3	10.00	2026-02-08	2026-02-17
OPERATIONAL	AGI TR Unit 3	A1200	LCT arrives to MZP; Deck preparations	1.00	2026-02-08	2026-02-08
OPERATIONAL	AGI TR Unit 3	A1210	Loading of AGI TR Unit 3 on SPMT (1st set); lashing; Shifting to Mina Zayed Port RoRo Jetty area	0.30	2026-02-08	2026-02-08
OPERATIONAL	AGI TR Unit 3	A1220	RoRo Ramp Installation - 5t Forklift and Crane required	0.30	2026-02-08	2026-02-08
OPERATIONAL	AGI TR Unit 3	A1230	Load-out of AGL TR Unit 3; stool down (10am) - Tide: 1.27m at 10:00 (조석 ≥1.15m 조건 적용, 병렬운행: TR1 완료 직후)	0.20	2026-02-09	2026-02-09
OPERATIONAL	AGI TR Unit 3	A1240	RoRo ramp removal; Seafastening AGL TR Unit 3 - Crane required	1.00	2026-02-09	2026-02-10
OPERATIONAL	AGI TR Unit 3	A1300	MWS + MPI + Final Preparations	0.20	2026-02-10	2026-02-10
OPERATIONAL	AGI TR Unit 3	A1310	Sail-away - Marine Transportation by LCT to Al Ghallan Island	1.00	2026-02-11	2026-02-11
OPERATIONAL	AGI TR Unit 3	A1320	LCT Arrival; Berthing at AGL RoRo Jetty	0.50	2026-02-12	2026-02-12
OPERATIONAL	AGI TR Unit 3	A1330	Unlashing and cutting; steel sets preparations - Forklift required	0.50	2026-02-12	2026-02-12
OPERATIONAL	AGI TR Unit 3	A1350	Load-in of AGI TR Unit 3 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-02-13	2026-02-13
OPERATIONAL	AGI TR Unit 3	A1370	Steel bridge Installation 1 - Crane required	0.30	2026-02-14	2026-02-14
OPERATIONAL	AGI TR Unit 3	A1380	AGL TR Unit 3 (TR Bay 2) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-02-14	2026-02-14
OPERATIONAL	AGI TR Unit 3	A1390	Turning of AGI TR Unit 3 (TR Bay 2) - 10t Forklift required	3.00	2026-02-15	2026-02-17
OPERATIONAL	AGI TR Unit 3	A1400	Jacking down of AGI TR Unit 3 (TR Bay 2) on temporary support - Forklift required	1.00	2026-02-18	2026-02-18
OPERATIONAL	AGI TR Unit 3	A1440	SPMT shifting back to Port (1st set)	0.50	2026-02-18	2026-02-18
OPERATIONAL	AGI TR Unit 4		AGI TR Unit 4	19.00	2026-02-09	2026-02-25
OPERATIONAL	AGI TR Unit 4	A2200	LCT arrives to MZP; Deck preparations	1.00	2026-02-09	2026-02-09
OPERATIONAL	AGI TR Unit 4	A2210	Loading of AGI TR Unit 4 on SPMT (2nd set); lashing; Shifting to Mina Zayed Port RoRo Jetty area	0.30	2026-02-09	2026-02-09
OPERATIONAL	AGI TR Unit 4	A2220	RoRo Ramp Installation - 5t Forklift and Crane required	0.30	2026-02-09	2026-02-09
OPERATIONAL	AGI TR Unit 4	A2230	Load-out of AGL TR Unit 4; stool down (10am) - Tide: 1.43m at 10:00 (조석 ≥1.15m 조건 적용, 병렬운행: TR2 완료 직후)	0.20	2026-02-10	2026-02-10
OPERATIONAL	AGI TR Unit 4	A2240	RoRo ramp removal; Seafastening AGL TR Unit 4 - Crane required	1.00	2026-02-10	2026-02-11
OPERATIONAL	AGI TR Unit 4	A2300	MWS + MPI + Final Preparations	0.20	2026-02-11	2026-02-11
OPERATIONAL	AGI TR Unit 4	A2310	Sail-away - Marine Transportation by LCT to Al Ghallan Island	1.00	2026-02-12	2026-02-12
OPERATIONAL	AGI TR Unit 4	A2320	LCT Arrival; Berthing at AGL RoRo Jetty	0.50	2026-02-13	2026-02-13
OPERATIONAL	AGI TR Unit 4	A2330	Unlashing and cutting; steel sets preparations - Forklift required	0.50	2026-02-13	2026-02-13
OPERATIONAL	AGI TR Unit 4	A2350	Load-in of AGI TR Unit 4 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-02-14	2026-02-14
OPERATIONAL	AGI TR Unit 4	A2370	Steel bridge Installation 1 - Crane required	0.30	2026-02-15	2026-02-15
OPERATIONAL	AGI TR Unit 4	A2380	AGL TR Unit 4 (TR Bay 1) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-02-15	2026-02-15
OPERATIONAL	AGI TR Unit 4	A2390	Turning of AGI TR Unit 4 (TR Bay 1) - 10t Forklift required	3.00	2026-02-16	2026-02-18
OPERATIONAL	AGI TR Unit 4	A2400	Jacking down of AGI TR Unit 4 (TR Bay 1) on temporary support - Forklift required	1.00	2026-02-19	2026-02-19
OPERATIONAL	AGI TR Unit 4	A2440	SPMT shifting back to Port (2nd set)	0.50	2026-02-19	2026-02-19
OPERATIONAL	AGI TR Unit 5		AGI TR Unit 5	7.00	2026-02-19	2026-02-27
OPERATIONAL	AGI TR Unit 5	A1460	LCT arrives to MZP; Deck preparations	1.00	2026-02-19	2026-02-19
OPERATIONAL	AGI TR Unit 5	A1470	Loading of AGI TR Unit 5 on SPMT (1st set); lashing; Shifting to Mina Zayed Port RoRo Jetty area	0.30	2026-02-23	2026-02-23
OPERATIONAL	AGI TR Unit 5	A1480	RoRo Ramp Installation - 5t Forklift and Crane required	0.30	2026-02-23	2026-02-23
OPERATIONAL	AGI TR Unit 5	A1490	Load-out of AGL TR Unit 5; stool down (5am-6am) - Tide: 1.90m at 05:00, 2.01m at 06:00 (조석 ≥1.15m 조건 적용, 병렬운행: TR3 완료 직후)	0.20	2026-02-24	2026-02-24
OPERATIONAL	AGI TR Unit 5	A1500	RoRo ramp removal; Seafastening AGL TR Unit 5 - Crane required	1.00	2026-02-24	2026-02-25
OPERATIONAL	AGI TR Unit 5	A1560	MWS + MPI + Final Preparations	0.20	2026-02-25	2026-02-25
OPERATIONAL	AGI TR Unit 5	A1570	Sail-away - Marine Transportation by LCT to Al Ghallan Island	1.00	2026-02-26	2026-02-26
OPERATIONAL	AGI TR Unit 5	A1580	LCT Arrival; Berthing at AGL RoRo Jetty	0.50	2026-02-27	2026-02-27
OPERATIONAL	AGI TR Unit 5	A1590	Unlashing and cutting; steel sets preparations - Forklift required	0.50	2026-02-27	2026-02-27
OPERATIONAL	AGI TR Unit 5	A1610	Load-in of AGI TR Unit 5 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-02-28	2026-02-28
OPERATIONAL	AGI TR Unit 5	A1630	Steel bridge Installation 1 - Crane required	0.30	2026-02-28	2026-02-28
OPERATIONAL	AGI TR Unit 5	A1640	AGL TR Unit 5 (TR Bay 5) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-02-28	2026-02-28
OPERATIONAL	AGI TR Unit 5	A1650	Turning of AGI TR Unit 5 (TR Bay 5) - 10t Forklift required	3.00	2026-02-26	2026-02-28
OPERATIONAL	AGI TR Unit 5	A1660	Jacking down of AGI TR Unit 5 (TR Bay 5) on temporary support - Forklift required	1.00	2026-02-27	2026-02-27
OPERATIONAL	AGI TR Unit 5	A1700	SPMT shifting back to Port (1st set)	0.50	2026-02-27	2026-02-27
OPERATIONAL	AGI TR Unit 6		AGI TR Unit 6	8.00	2026-02-20	2026-03-04
OPERATIONAL	AGI TR Unit 6	A2500	LCT arrives to MZP; Deck preparations	1.00	2026-02-20	2026-02-20
OPERATIONAL	AGI TR Unit 6	A2510	Loading of AGI TR Unit 6 on SPMT (2nd set); lashing; Shifting to Mina Zayed Port RoRo Jetty area	0.30	2026-02-24	2026-02-24
OPERATIONAL	AGI TR Unit 6	A2520	RoRo Ramp Installation - 5t Forklift and Crane required	0.30	2026-02-24	2026-02-24
OPERATIONAL	AGI TR Unit 6	A2530	Load-out of AGL TR Unit 6; stool down (10am) - Tide: 1.45m at 10:00 (조석 ≥1.15m 조건 적용, 병렬운행: TR4 완료 직후)	0.20	2026-02-25	2026-02-25
OPERATIONAL	AGI TR Unit 6	A2540	RoRo ramp removal; Seafastening AGL TR Unit 6 - Crane required	1.00	2026-02-25	2026-02-26
OPERATIONAL	AGI TR Unit 6	A2560	MWS + MPI + Final Preparations	0.20	2026-02-26	2026-02-26
OPERATIONAL	AGI TR Unit 6	A2570	Sail-away - Marine Transportation by LCT to Al Ghallan Island	1.00	2026-02-27	2026-02-27
OPERATIONAL	AGI TR Unit 6	A2580	LCT Arrival; Berthing at AGL RoRo Jetty	0.50	2026-02-28	2026-02-28
OPERATIONAL	AGI TR Unit 6	A2590	Unlashing and cutting; steel sets preparations - Forklift required	0.50	2026-02-28	2026-02-28
OPERATIONAL	AGI TR Unit 6	A2610	Load-in of AGI TR Unit 6 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-03-01	2026-03-01
OPERATIONAL	AGI TR Unit 6	A2630	Steel bridge Installation 1 - Crane required	0.30	2026-03-01	2026-03-01
OPERATIONAL	AGI TR Unit 6	A2640	AGL TR Unit 6 (TR Bay 6) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-03-01	2026-03-01
OPERATIONAL	AGI TR Unit 6	A2650	Turning of AGI TR Unit 6 (TR Bay 6) - 10t Forklift required	3.00	2026-03-01	2026-03-03
OPERATIONAL	AGI TR Unit 6	A2660	Jacking down of AGI TR Unit 6 (TR Bay 6) on temporary support - Forklift required	1.00	2026-03-04	2026-03-04
OPERATIONAL	AGI TR Unit 6	A2700	SPMT shifting back to Port (2nd set)	0.50	2026-03-04	2026-03-04
OPERATIONAL	AGI TR Unit 7		AGI TR Unit 7	5.00	2026-02-28	2026-03-08
OPERATIONAL	AGI TR Unit 7	A1720	LCT arrives to MZP; Deck preparations	1.00	2026-02-28	2026-02-28
OPERATIONAL	AGI TR Unit 7	A1730	Loading of AGI TR Unit 7 on SPMT (1st set); lashing; Shifting to Mina Zayed Port RoRo Jetty area	0.30	2026-03-01	2026-03-01
OPERATIONAL	AGI TR Unit 7	A1740	RoRo Ramp Installation - 5t Forklift and Crane required	0.30	2026-03-01	2026-03-01
OPERATIONAL	AGI TR Unit 7	A1750	Load-out of AGL TR Unit 7; stool down (10am) - Tide: 1.64m at 10:00 (조석 ≥1.15m 조건 적용, 병렬운행: TR5 완료 직후)	0.20	2026-03-02	2026-03-02
OPERATIONAL	AGI TR Unit 7	A1760	RoRo ramp removal; Seafastening AGL TR Unit 7 - Crane required	1.00	2026-03-02	2026-03-03
OPERATIONAL	AGI TR Unit 7	A1820	MWS + MPI + Final Preparations	0.50	2026-03-03	2026-03-03
OPERATIONAL	AGI TR Unit 7	A1830	Sail-away - Marine Transportation by LCT to Al Ghallan Island	1.00	2026-03-04	2026-03-04
OPERATIONAL	AGI TR Unit 7	A1840	LCT Arrival; Berthing at AGL RoRo Jetty	0.50	2026-03-05	2026-03-05
OPERATIONAL	AGI TR Unit 7	A1850	Unlashing and cutting; steel sets preparations - Forklift required	0.50	2026-03-05	2026-03-05
OPERATIONAL	AGI TR Unit 7	A1860	Load-in of AGI TR Unit 7 (including RoRo Ramp Installation); store on Jetty - Crane required	1.00	2026-03-06	2026-03-06
OPERATIONAL	AGI TR Unit 7	A1890	Steel bridge Installation - Crane required	0.30	2026-03-06	2026-03-06
OPERATIONAL	AGI TR Unit 7	A1900	AGL TR Unit 7 (TR Bay 7) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer)	0.70	2026-03-06	2026-03-06
OPERATIONAL	AGI TR Unit 7	A1910	Turning of AGI TR Unit 7 (TR Bay 7) - 10t Forklift required	3.00	2026-03-06	2026-03-08
OPERATIONAL	AGI TR Unit 7	A1920	Jacking down of AGI TR Unit 7 (TR Bay 7) on temporary support - Forklift required	1.00	2026-03-08	2026-03-08
OPERATIONAL	AGI TR Unit 7	A1960	SPMT shifting back to Port (1st set)	0.50	2026-03-08	2026-03-08
